synapse_id,file_type,md5_checksum
syn26644414,ome.tif,0a3d8f1d2d69f15aeccedea0d54efa6c
syn26644421,ome.tif,313257a6822ff5b52e7e35a626b6c33f
syn43716055,txt,38b86a456d1f441008986c6f798d5ef9
